Index,Model_Seed,Seed,Task,Acquisition,Subject,Misspecification,Implant,NAxons,NAxon_Segments
1,4,4,E,TS_binary,FF,0,Argus II,300,300
2,4,4,preference,MUC,FF,0,Argus II,300,300
3,4,4,preference,MUC,FF,1,Argus II,300,300
1,4,4,preference,random,FF,0,Argus II,300,300
1,5,5,E,TS_binary,SG,0,Argus II,300,300
1,5,5,preference,MUC,SG,0,Argus II,300,300
3,5,5,preference,MUC,SG,1,Argus II,300,300
2,5,5,preference,random,SG,0,Argus II,300,300
1,2,1,E,TS_binary,TF,0,Argus II,300,300
1,2,1,preference,MUC,TF,1,Argus II,300,300
2,2,1,preference,MUC,TF,0,Argus II,300,300
3,2,1,preference,random,TF,0,Argus II,300,300
2,8,8,E,TS_binary,TF,0,Argus II,300,300
4,8,8,preference,MUC,TF,1,Argus II,300,300
5,8,8,preference,MUC,TF,0,Argus II,300,300
6,8,8,preference,random,TF,0,Argus II,300,300
1,3,3,E,TS_binary,BF,0,Argus II,300,300
1,3,3,preference,MUC,BF,1,Argus II,300,300
2,3,3,preference,MUC,BF,0,Argus II,300,300
3,3,3,preference,random,BF,0,Argus II,300,300
1,7,7,E,TS_binary,SF,0,Argus II,300,300
1,7,7,preference,MUC,SF,0,Argus II,300,300
2,7,7,preference,MUC,SF,1,Argus II,300,300
3,7,7,preference,random,SF,0,Argus II,300,300
1,3,3,E,TS_binary,SV,0,Argus II,300,300
1,3,3,preference,MUC,SV,1,Argus II,300,300
2,3,3,preference,MUC,SV,0,Argus II,300,300
3,3,3,preference,random,SV,0,Argus II,300,300
1,8,8,E,TS_binary,AD,0,Argus II,300,300
1,8,8,preference,MUC,AD,1,Argus II,300,300
2,8,8,preference,MUC,AD,0,Argus II,300,300
3,8,8,preference,random,AD,0,Argus II,300,300
1,13,13,E,TS_binary,CF,0,Argus II,300,300
2,13,13,preference,MUC,CF,0,Argus II,300,300
3,13,13,preference,MUC,CF,1,Argus II,300,300
1,13,13,preference,random,CF,0,Argus II,300,300
1,4,4,E,TS_binary,FF,0,Argus II,300,300
2,4,4,preference,MUC,FF,0,Argus II,300,300
3,4,4,preference,MUC,FF,1,Argus II,300,300
1,4,4,preference,random,FF,0,Argus II,300,300
1,3,3,E,TS_binary,IO,0,Argus II,300,300
1,3,3,preference,MUC,IO,1,Argus II,300,300
2,3,3,preference,MUC,IO,0,Argus II,300,300
3,3,3,preference,random,IO,0,Argus II,300,300
1,2,2,E,TS_binary,KM,0,Argus II,300,300
2,2,2,preference,MUC,KM,0,Argus II,300,300
3,2,2,preference,MUC,KM,1,Argus II,300,300
1,2,2,preference,random,KM,0,Argus II,300,300
1,12,12,E,TS_binary,MB,0,Argus II,300,300
1,12,12,preference,MUC,MB,0,Argus II,300,300
2,12,12,preference,MUC,MB,1,Argus II,300,300
3,12,12,preference,random,MB,0,Argus II,300,300
1,1,1,E,TS_binary,MC,0,Argus II,300,300
1,1,1,preference,MUC,MC,1,Argus II,300,300
2,1,1,preference,MUC,MC,0,Argus II,300,300
3,1,1,preference,random,MC,0,Argus II,300,300
1,5,5,E,TS_binary,SG,0,Argus II,300,300
1,5,5,preference,MUC,SG,1,Argus II,300,300
2,5,5,preference,MUC,SG,0,Argus II,300,300
3,5,5,preference,random,SG,0,Argus II,300,300
1,1,1,E,TS_binary,TF,0,Argus II,300,300
1,1,1,preference,MUC,TF,1,Argus II,300,300
2,1,1,preference,MUC,TF,0,Argus II,300,300
3,1,1,preference,random,TF,0,Argus II,300,300
1,5,5,E,TS_binary,TN,0,Argus II,300,300
1,5,5,preference,MUC,TN,1,Argus II,300,300
2,5,5,preference,MUC,TN,0,Argus II,300,300
3,5,5,preference,random,TN,0,Argus II,300,300
1,2,2,E,TS_binary,TO,0,Argus II,300,300
2,2,2,preference,MUC,TO,0,Argus II,300,300
3,2,2,preference,MUC,TO,1,Argus II,300,300
1,2,2,preference,random,TO,0,Argus II,300,300
