Index,Model_Seed,Seed,Task,Acquisition,Subject,Misspecification,Implant,NAxons,NAxon_Segments
1,4,4,E,TS_binary,FF,0,Argus II,300,300
2,4,4,preference,maxvar_challenge,FF,0,Argus II,300,300
3,4,4,preference,maxvar_challenge,FF,1,Argus II,300,300
1,4,4,preference,random,FF,0,Argus II,300,300
1,5,5,E,TS_binary,SG,0,Argus II,300,300
1,5,5,preference,maxvar_challenge,SG,0,Argus II,300,300
3,5,5,preference,maxvar_challenge,SG,1,Argus II,300,300
2,5,5,preference,random,SG,0,Argus II,300,300
1,2,1,E,TS_binary,TF,0,Argus II,300,300
1,2,1,preference,maxvar_challenge,TF,1,Argus II,300,300
2,2,1,preference,maxvar_challenge,TF,0,Argus II,300,300
3,2,1,preference,random,TF,0,Argus II,300,300
2,8,8,E,TS_binary,TF,0,Argus II,300,300
4,8,8,preference,maxvar_challenge,TF,1,Argus II,300,300
5,8,8,preference,maxvar_challenge,TF,0,Argus II,300,300
6,8,8,preference,random,TF,0,Argus II,300,300
1,3,3,E,TS_binary,BF,0,Argus II,300,300
1,3,3,preference,maxvar_challenge,BF,1,Argus II,300,300
2,3,3,preference,maxvar_challenge,BF,0,Argus II,300,300
3,3,3,preference,random,BF,0,Argus II,300,300
1,7,7,E,TS_binary,SF,0,Argus II,300,300
1,7,7,preference,maxvar_challenge,SF,0,Argus II,300,300
2,7,7,preference,maxvar_challenge,SF,1,Argus II,300,300
3,7,7,preference,random,SF,0,Argus II,300,300
1,3,3,E,TS_binary,SV,0,Argus II,300,300
1,3,3,preference,maxvar_challenge,SV,1,Argus II,300,300
2,3,3,preference,maxvar_challenge,SV,0,Argus II,300,300
3,3,3,preference,random,SV,0,Argus II,300,300
1,8,8,E,TS_binary,AD,0,Argus II,300,300
1,8,8,preference,maxvar_challenge,AD,1,Argus II,300,300
2,8,8,preference,maxvar_challenge,AD,0,Argus II,300,300
3,8,8,preference,random,AD,0,Argus II,300,300
1,13,13,E,TS_binary,CF,0,Argus II,300,300
2,13,13,preference,maxvar_challenge,CF,0,Argus II,300,300
3,13,13,preference,maxvar_challenge,CF,1,Argus II,300,300
1,13,13,preference,random,CF,0,Argus II,300,300
1,4,4,E,TS_binary,FF,0,Argus II,300,300
2,4,4,preference,maxvar_challenge,FF,0,Argus II,300,300
3,4,4,preference,maxvar_challenge,FF,1,Argus II,300,300
1,4,4,preference,random,FF,0,Argus II,300,300
1,3,3,E,TS_binary,IO,0,Argus II,300,300
1,3,3,preference,maxvar_challenge,IO,1,Argus II,300,300
2,3,3,preference,maxvar_challenge,IO,0,Argus II,300,300
3,3,3,preference,random,IO,0,Argus II,300,300
1,2,2,E,TS_binary,KM,0,Argus II,300,300
2,2,2,preference,maxvar_challenge,KM,0,Argus II,300,300
3,2,2,preference,maxvar_challenge,KM,1,Argus II,300,300
1,2,2,preference,random,KM,0,Argus II,300,300
1,12,12,E,TS_binary,MB,0,Argus II,300,300
1,12,12,preference,maxvar_challenge,MB,0,Argus II,300,300
2,12,12,preference,maxvar_challenge,MB,1,Argus II,300,300
3,12,12,preference,random,MB,0,Argus II,300,300
1,1,1,E,TS_binary,MC,0,Argus II,300,300
1,1,1,preference,maxvar_challenge,MC,1,Argus II,300,300
2,1,1,preference,maxvar_challenge,MC,0,Argus II,300,300
3,1,1,preference,random,MC,0,Argus II,300,300
1,5,5,E,TS_binary,SG,0,Argus II,300,300
1,5,5,preference,maxvar_challenge,SG,1,Argus II,300,300
2,5,5,preference,maxvar_challenge,SG,0,Argus II,300,300
3,5,5,preference,random,SG,0,Argus II,300,300
1,1,1,E,TS_binary,TF,0,Argus II,300,300
1,1,1,preference,maxvar_challenge,TF,1,Argus II,300,300
2,1,1,preference,maxvar_challenge,TF,0,Argus II,300,300
3,1,1,preference,random,TF,0,Argus II,300,300
1,5,5,E,TS_binary,TN,0,Argus II,300,300
1,5,5,preference,maxvar_challenge,TN,1,Argus II,300,300
2,5,5,preference,maxvar_challenge,TN,0,Argus II,300,300
3,5,5,preference,random,TN,0,Argus II,300,300
1,2,2,E,TS_binary,TO,0,Argus II,300,300
2,2,2,preference,maxvar_challenge,TO,0,Argus II,300,300
3,2,2,preference,maxvar_challenge,TO,1,Argus II,300,300
1,2,2,preference,random,TO,0,Argus II,300,300
